测试数据量351条，正常数据225条，异常数据126条。
结果总数,真异常,新数据,假异常,查准率，召回率
162,28,28,134,17.28%,22.22%
26,2,9,24,7.69%,1.59%
131,24,13,107,18.32%,19.05%
115,19,10,96,16.52%,15.08%
186,32,19,154,17.2%,25.4%
1,1,14,0,100%,0.79%
1,1,33,0,100%,0.79%
26,2,1,24,7.69%,1.59%
188,32,21,156,17.02%,25.4%
151,29,39,122,19.21%,23.02%
