测试数据量1151条，正常数据540条，异常数据611条。
结果总数,真异常,新数据,假异常,查准率，召回率
396,163,155,233,41.16%,26.68%
500,287,22,213,57.4%,46.97%
382,167,108,215,43.72%,27.33%
491,281,17,210,57.23%,45.99%
487,279,228,208,57.29%,45.66%
474,272,82,202,57.38%,44.52%
399,169,716,230,42.36%,27.66%
403,175,221,228,43.42%,28.64%
491,282,516,209,57.43%,46.15%
467,262,55,205,56.1%,42.88%
