测试数据量1151条，正常数据540条，异常数据611条。
结果总数,真异常,新数据,假异常,查准率，召回率
499,287,19,212,57.52%,46.97%
377,166,10,211,44.03%,27.17%
501,280,27,221,55.89%,45.83%
417,184,11,233,44.12%,30.11%
389,174,224,215,44.73%,28.48%
402,173,201,229,43.03%,28.31%
476,273,117,203,57.35%,44.68%
482,277,234,205,57.47%,45.34%
340,147,579,193,43.24%,24.06%
401,174,45,227,43.39%,28.48%
