测试数据量1151条，正常数据540条，异常数据611条。
结果总数,真异常,新数据,假异常,查准率，召回率
38,31,856,7,81.58%,5.07%
205,107,3468,98,52.2%,17.51%
48,36,1158,12,75%,5.89%
36,26,1082,10,72.22%,4.26%
195,99,3247,96,50.77%,16.2%
43,34,1332,9,79.07%,5.56%
131,72,3874,59,54.96%,11.78%
41,31,1442,10,75.61%,5.07%
187,86,6548,101,45.99%,14.08%
45,34,839,11,75.56%,5.56%
